simulation_id,timestamp,arrival_rate,expert_weights,complexity_sigma,tx_count,tx_by_model,total_bytes,duration_s,energy_j,power_w,j_per_tx,tx_per_second,blocks_used,start_block,end_block
1,2026-01-25T17:59:54.354631,10.61,"{""Fast-Inference"": 0.3988183807972713, ""Standard-Inference"": 0.1896735999986652, ""Complex-Inference"": 0.21460774444525488, ""Ensemble-Inference"": 0.1969002747588088}",0.485,100,"{""1"": 21, ""3"": 19, ""0"": 34, ""2"": 26}",64411,6.24,149.25,23.93,1.4925,16.03,1,6,7
2,2026-01-25T18:00:06.336121,5.51,"{""Fast-Inference"": 0.42220954182835363, ""Standard-Inference"": 0.19202989571685458, ""Complex-Inference"": 0.20717825315908212, ""Ensemble-Inference"": 0.17858230929570973}",0.561,91,"{""1"": 16, ""0"": 42, ""3"": 15, ""2"": 18}",51059,6.22,147.95,23.8,1.6258,14.64,1,8,9
3,2026-01-25T18:00:18.317713,11.39,"{""Fast-Inference"": 0.40920387920650364, ""Standard-Inference"": 0.1852035697428219, ""Complex-Inference"": 0.21027225822155263, ""Ensemble-Inference"": 0.19532029282912206}",0.536,100,"{""1"": 22, ""0"": 37, ""2"": 28, ""3"": 13}",64207,6.23,150.17,24.11,1.5017,16.05,1,10,11
4,2026-01-25T18:00:30.297662,19.38,"{""Fast-Inference"": 0.3645164053303309, ""Standard-Inference"": 0.21851674204864865, ""Complex-Inference"": 0.22537476843704793, ""Ensemble-Inference"": 0.1915920841839725}",0.941,100,"{""0"": 40, ""3"": 21, ""1"": 23, ""2"": 16}",72406,6.23,148.65,23.85,1.4865,16.04,1,12,13
5,2026-01-25T18:00:42.300654,16.34,"{""Fast-Inference"": 0.3715617842065627, ""Standard-Inference"": 0.22316365236909047, ""Complex-Inference"": 0.18450821236288173, ""Ensemble-Inference"": 0.22076635106146514}",0.853,100,"{""0"": 37, ""3"": 25, ""1"": 21, ""2"": 17}",72840,6.23,148.87,23.89,1.4887,16.05,1,14,15
6,2026-01-25T18:00:54.339880,21.69,"{""Fast-Inference"": 0.39208570644993135, ""Standard-Inference"": 0.2175841927982714, ""Complex-Inference"": 0.19119779860034047, ""Ensemble-Inference"": 0.19913230215145675}",0.78,74,"{""2"": 9, ""3"": 15, ""0"": 33, ""1"": 17}",49111,6.18,146.83,23.75,1.9841,11.97,1,16,17
7,2026-01-25T18:01:06.082079,12.87,"{""Fast-Inference"": 0.37568777834858064, ""Standard-Inference"": 0.2106429590609672, ""Complex-Inference"": 0.20803775731005741, ""Ensemble-Inference"": 0.2056315052803948}",0.827,94,"{""3"": 19, ""0"": 41, ""2"": 16, ""1"": 18}",63669,5.92,141.44,23.9,1.5047,15.88,1,18,19
8,2026-01-25T18:01:18.100620,22.78,"{""Fast-Inference"": 0.36690567860616924, ""Standard-Inference"": 0.20161078087237372, ""Complex-Inference"": 0.21381935773001548, ""Ensemble-Inference"": 0.21766418279144156}",0.672,99,"{""2"": 23, ""3"": 22, ""1"": 14, ""0"": 40}",72884,5.93,142.14,23.98,1.4358,16.7,1,20,21
9,2026-01-25T18:01:30.301896,23.64,"{""Fast-Inference"": 0.4090826084959716, ""Standard-Inference"": 0.1677862483614336, ""Complex-Inference"": 0.21719267629545946, ""Ensemble-Inference"": 0.20593846684713535}",0.659,95,"{""0"": 45, ""2"": 17, ""3"": 16, ""1"": 17}",54649,6.23,147.25,23.65,1.55,15.26,1,22,23
10,2026-01-25T18:01:42.291183,25.22,"{""Fast-Inference"": 0.40414051877354334, ""Standard-Inference"": 0.19364079302359474, ""Complex-Inference"": 0.1883929455171009, ""Ensemble-Inference"": 0.2138257426857609}",0.625,94,"{""0"": 43, ""3"": 21, ""2"": 16, ""1"": 14}",62036,6.23,178.0,28.59,1.8936,15.1,1,24,25
11,2026-01-25T18:01:54.342750,6.09,"{""Fast-Inference"": 0.46155837777950665, ""Standard-Inference"": 0.17896700536824717, ""Complex-Inference"": 0.17922966359648773, ""Ensemble-Inference"": 0.1802449532557585}",0.753,100,"{""3"": 24, ""0"": 45, ""2"": 16, ""1"": 15}",67461,6.24,147.95,23.73,1.4795,16.04,1,26,27
12,2026-01-25T18:02:06.102562,18.1,"{""Fast-Inference"": 0.3991215187382767, ""Standard-Inference"": 0.1861907783557792, ""Complex-Inference"": 0.20146905108419472, ""Ensemble-Inference"": 0.2132186518217493}",0.528,98,"{""2"": 20, ""1"": 22, ""3"": 20, ""0"": 36}",59150,5.93,139.55,23.55,1.4239,16.54,1,28,29
