simulation_id,timestamp,arrival_rate,expert_weights,complexity_sigma,tx_count,tx_by_model,total_bytes,duration_s,energy_j,power_w,j_per_tx,tx_per_second,blocks_used,start_block,end_block
1,2026-01-16T13:29:00.373993,15.02,"{""Fast"": 0.5488947979008797, ""Standard"": 0.25507371489396513, ""Complex"": 0.1499315496626391, ""Ensemble"": 0.04609993754251611}",0.584,133,"{""0"": 87, ""1"": 26, ""2"": 18, ""3"": 2}",48589,6.29,143.97,22.9,1.0825,21.16,1,6,7
2,2026-01-16T13:29:42.169881,18.86,"{""Fast"": 0.4839080580694771, ""Standard"": 0.31216337379855125, ""Complex"": 0.1515031687673824, ""Ensemble"": 0.05242539936458943}",0.32,150,"{""0"": 81, ""1"": 45, ""3"": 7, ""2"": 17}",57836,6.01,148.37,24.7,0.9891,24.97,1,6,7
3,2026-01-16T13:30:24.161343,7.79,"{""Fast"": 0.48174733061508274, ""Standard"": 0.30477183194846613, ""Complex"": 0.15505302481003422, ""Ensemble"": 0.05842781262641689}",0.598,146,"{""0"": 59, ""2"": 22, ""1"": 55, ""3"": 10}",62737,6.0,138.33,23.05,0.9474,24.33,1,6,7
4,2026-01-16T13:31:06.096940,28.71,"{""Fast"": 0.47000269408976403, ""Standard"": 0.31280379570237365, ""Complex"": 0.1583132656834648, ""Ensemble"": 0.058880244524397614}",0.534,138,"{""0"": 62, ""1"": 47, ""3"": 9, ""2"": 20}",61784,5.98,181.1,30.29,1.3123,23.08,1,6,7
5,2026-01-16T13:31:48.193986,5.76,"{""Fast"": 0.45683023328369304, ""Standard"": 0.32822368829851145, ""Complex"": 0.15979887070471308, ""Ensemble"": 0.05514720771308239}",0.983,149,"{""1"": 46, ""0"": 66, ""2"": 29, ""3"": 8}",68961,6.0,137.17,22.87,0.9206,24.84,1,6,7
6,2026-01-16T13:32:30.135791,15.39,"{""Fast"": 0.5141244770758574, ""Standard"": 0.2757900677919322, ""Complex"": 0.1587841978849612, ""Ensemble"": 0.05130125724724933}",0.933,137,"{""0"": 70, ""1"": 28, ""2"": 34, ""3"": 5}",61838,5.98,138.88,23.23,1.0137,22.91,1,6,7
7,2026-01-16T13:33:12.275332,13.69,"{""Fast"": 0.534397844708186, ""Standard"": 0.2913793969304807, ""Complex"": 0.12628601606380926, ""Ensemble"": 0.047936742297523996}",0.773,150,"{""0"": 84, ""2"": 18, ""1"": 41, ""3"": 7}",61906,6.01,139.32,23.19,0.9288,24.96,1,6,7
8,2026-01-16T13:33:54.355448,6.04,"{""Fast"": 0.4854653681059582, ""Standard"": 0.3241511108884594, ""Complex"": 0.13707660702425756, ""Ensemble"": 0.05330691398132489}",0.974,135,"{""2"": 23, ""0"": 56, ""3"": 8, ""1"": 48}",66101,6.29,-61091.24,-9718.18,-452.5277,21.48,1,6,7
9,2026-01-16T13:34:36.141253,13.64,"{""Fast"": 0.48876852241237834, ""Standard"": 0.29574307422199486, ""Complex"": 0.1647509956701067, ""Ensemble"": 0.050737407695520105}",0.562,150,"{""0"": 78, ""1"": 37, ""2"": 26, ""3"": 9}",66317,6.01,141.04,23.45,0.9402,24.94,1,6,7
10,2026-01-16T13:35:18.140047,23.59,"{""Fast"": 0.49837577786449655, ""Standard"": 0.3122205907321542, ""Complex"": 0.142861624021209, ""Ensemble"": 0.04654200738214012}",0.926,150,"{""1"": 55, ""2"": 29, ""0"": 63, ""3"": 3}",71608,6.0,137.66,22.93,0.9177,24.99,1,6,7
