simulation_id,timestamp,arrival_rate,expert_weights,complexity_sigma,tx_count,tx_by_model,total_bytes,duration_s,energy_j,power_w,j_per_tx,tx_per_second,blocks_used,start_block,end_block
1,2026-01-25T14:27:00.304014,17.01,"{""Fast"": 0.49602154791945696, ""Standard"": 0.2799187653549828, ""Complex"": 0.1777775044361199, ""Ensemble"": 0.04628218228944043}",0.973,99,"{""1"": 32, ""2"": 17, ""0"": 48, ""3"": 2}",49236,6.23,156.0,25.05,1.5757,15.9,1,6,7
2,2026-01-25T14:27:12.108075,21.42,"{""Fast"": 0.465019345192351, ""Standard"": 0.3140975914159897, ""Complex"": 0.173031703284052, ""Ensemble"": 0.0478513601076073}",0.869,100,"{""1"": 28, ""0"": 49, ""2"": 16, ""3"": 7}",50816,5.92,141.15,23.83,1.4115,16.88,1,8,9
3,2026-01-25T14:27:24.101178,20.56,"{""Fast"": 0.5020034605896938, ""Standard"": 0.3020776334327744, ""Complex"": 0.14667592313981945, ""Ensemble"": 0.049242982837712515}",0.827,100,"{""0"": 48, ""2"": 20, ""1"": 28, ""3"": 4}",48942,5.92,141.16,23.83,1.4116,16.88,1,10,11
4,2026-01-25T14:27:36.248424,27.01,"{""Fast"": 0.49394311259118995, ""Standard"": 0.29668572962240575, ""Complex"": 0.15966467592484446, ""Ensemble"": 0.04970648186155981}",0.717,79,"{""0"": 45, ""2"": 13, ""1"": 21}",30085,6.19,145.67,23.54,1.844,12.76,1,12,13
5,2026-01-25T14:27:48.286314,7.38,"{""Fast"": 0.5033823625506231, ""Standard"": 0.31257708334238893, ""Complex"": 0.1409295983914009, ""Ensemble"": 0.04311095571558711}",0.798,96,"{""0"": 55, ""1"": 29, ""3"": 3, ""2"": 9}",38529,6.22,145.92,23.45,1.52,15.43,1,14,15
6,2026-01-25T14:28:00.117484,8.51,"{""Fast"": 0.4988676145962481, ""Standard"": 0.29127643212496973, ""Complex"": 0.16190394780970765, ""Ensemble"": 0.04795200546907453}",0.693,98,"{""0"": 44, ""2"": 22, ""3"": 12, ""1"": 20}",54515,5.92,150.2,25.38,1.5326,16.56,1,16,17
7,2026-01-25T14:28:12.319847,25.29,"{""Fast"": 0.48807446663671644, ""Standard"": 0.31756029653654316, ""Complex"": 0.14575461798677936, ""Ensemble"": 0.048610618839960894}",0.749,100,"{""1"": 33, ""0"": 46, ""3"": 4, ""2"": 17}",44472,6.23,181.98,29.23,1.8198,16.06,1,18,19
8,2026-01-25T14:28:24.311078,9.59,"{""Fast"": 0.5079767788035219, ""Standard"": 0.2893807004610488, ""Complex"": 0.15588922854979845, ""Ensemble"": 0.04675329218563089}",0.599,89,"{""3"": 6, ""0"": 45, ""2"": 14, ""1"": 24}",38264,6.21,163.06,26.27,1.8322,14.34,1,20,21
9,2026-01-25T14:28:36.086689,19.86,"{""Fast"": 0.47041668506298695, ""Standard"": 0.3290738229087047, ""Complex"": 0.14674888390599386, ""Ensemble"": 0.05376060812231439}",0.316,99,"{""1"": 33, ""0"": 51, ""2"": 11, ""3"": 4}",39326,5.92,141.44,23.89,1.4286,16.72,1,22,23
10,2026-01-25T14:28:48.295836,26.63,"{""Fast"": 0.4881801752653904, ""Standard"": 0.30987050136821026, ""Complex"": 0.15715232464250267, ""Ensemble"": 0.04479699872389664}",0.502,90,"{""0"": 50, ""2"": 14, ""1"": 22, ""3"": 4}",41213,6.21,148.68,23.94,1.652,14.49,1,24,25
11,2026-01-25T14:29:00.129411,8.45,"{""Fast"": 0.5212639986347857, ""Standard"": 0.27357469457714223, ""Complex"": 0.15244696159176285, ""Ensemble"": 0.05271434519630909}",0.353,95,"{""0"": 47, ""1"": 29, ""3"": 8, ""2"": 11}",42185,5.92,145.86,24.65,1.5354,16.06,1,26,27
12,2026-01-25T14:29:12.137490,27.54,"{""Fast"": 0.509931303297935, ""Standard"": 0.2726022908641214, ""Complex"": 0.16898194654737908, ""Ensemble"": 0.04848445929056447}",0.923,100,"{""0"": 51, ""1"": 22, ""2"": 21, ""3"": 6}",52443,5.93,141.49,23.87,1.4149,16.87,1,28,29
13,2026-01-25T14:29:24.140030,9.89,"{""Fast"": 0.46369765682243125, ""Standard"": 0.33738366510373013, ""Complex"": 0.15276744855529006, ""Ensemble"": 0.046151229518548546}",0.37,100,"{""0"": 44, ""1"": 34, ""3"": 7, ""2"": 15}",45000,5.94,182.62,30.76,1.8262,16.85,1,30,31
14,2026-01-25T14:29:36.343995,12.37,"{""Fast"": 0.5277383868509633, ""Standard"": 0.28358734714729866, ""Complex"": 0.1444348883242821, ""Ensemble"": 0.044239377677455886}",0.337,100,"{""0"": 61, ""1"": 28, ""2"": 10, ""3"": 1}",36230,6.23,162.72,26.12,1.6272,16.05,1,32,33
15,2026-01-25T14:29:48.350709,19.11,"{""Fast"": 0.4725348940808723, ""Standard"": 0.32244256614358535, ""Complex"": 0.15050730511253885, ""Ensemble"": 0.05451523466300353}",0.817,100,"{""1"": 32, ""2"": 11, ""0"": 49, ""3"": 8}",50139,6.23,166.51,26.74,1.6651,16.06,1,34,35
16,2026-01-25T14:30:00.094979,16.94,"{""Fast"": 0.4501421916070766, ""Standard"": 0.3458067091873793, ""Complex"": 0.1588989956542947, ""Ensemble"": 0.045152103551249316}",0.81,82,"{""1"": 30, ""2"": 14, ""0"": 35, ""3"": 3}",33419,5.89,148.64,25.22,1.8127,13.92,1,36,37
17,2026-01-25T14:30:12.308756,24.59,"{""Fast"": 0.49681194941553836, ""Standard"": 0.3174937794126557, ""Complex"": 0.1449163008204721, ""Ensemble"": 0.040777970351333764}",0.36,100,"{""0"": 53, ""2"": 12, ""3"": 6, ""1"": 29}",38798,6.23,149.93,24.08,1.4993,16.06,1,38,39
18,2026-01-25T14:30:24.317233,10.78,"{""Fast"": 0.5299164708672327, ""Standard"": 0.2650282073643524, ""Complex"": 0.1482313808627962, ""Ensemble"": 0.056823940905618785}",0.857,96,"{""2"": 16, ""0"": 58, ""3"": 3, ""1"": 19}",44450,6.22,150.06,24.13,1.5631,15.44,1,40,41
19,2026-01-25T14:30:36.074049,11.76,"{""Fast"": 0.5169326491824041, ""Standard"": 0.2914175338988428, ""Complex"": 0.1372324432833841, ""Ensemble"": 0.05441737363536896}",0.387,97,"{""2"": 14, ""0"": 51, ""1"": 29, ""3"": 3}",37821,5.92,143.94,24.32,1.484,16.39,1,42,43
20,2026-01-25T14:30:48.107861,26.49,"{""Fast"": 0.4762961923670222, ""Standard"": 0.28519069907682687, ""Complex"": 0.18315312661124633, ""Ensemble"": 0.05535998194490463}",0.974,100,"{""0"": 50, ""1"": 30, ""2"": 18, ""3"": 2}",48404,5.93,142.47,24.03,1.4247,16.87,1,44,45
21,2026-01-25T14:31:00.303166,13.22,"{""Fast"": 0.46196411592111547, ""Standard"": 0.3165069906723028, ""Complex"": 0.17521889108688873, ""Ensemble"": 0.04631000231969305}",0.609,100,"{""1"": 28, ""0"": 49, ""2"": 20, ""3"": 3}",42358,6.23,153.72,24.69,1.5372,16.06,1,46,47
22,2026-01-25T14:31:12.073861,11.7,"{""Fast"": 0.5232989459889225, ""Standard"": 0.2875319162496696, ""Complex"": 0.14171781988809218, ""Ensemble"": 0.04745131787331574}",0.851,92,"{""2"": 16, ""0"": 48, ""1"": 25, ""3"": 3}",44247,5.91,145.88,24.69,1.5857,15.57,1,48,49
23,2026-01-25T14:31:24.135544,26.76,"{""Fast"": 0.47601406988649386, ""Standard"": 0.3338871946087553, ""Complex"": 0.13459733278395256, ""Ensemble"": 0.05550140272079823}",0.54,95,"{""0"": 45, ""1"": 33, ""2"": 11, ""3"": 6}",39058,5.92,143.3,24.21,1.5085,16.05,1,50,51
24,2026-01-25T14:31:36.104895,14.63,"{""Fast"": 0.47283287645159894, ""Standard"": 0.3177675450761904, ""Complex"": 0.15785914872113968, ""Ensemble"": 0.05154042975107089}",0.958,100,"{""1"": 36, ""3"": 7, ""0"": 48, ""2"": 9}",50132,5.92,145.28,24.53,1.4528,16.88,1,52,53
25,2026-01-25T14:31:48.324744,27.34,"{""Fast"": 0.5142470387194169, ""Standard"": 0.2883196251573269, ""Complex"": 0.1539265984360092, ""Ensemble"": 0.04350673768724708}",0.6,70,"{""1"": 19, ""0"": 37, ""3"": 5, ""2"": 9}",32093,6.18,149.38,24.19,2.134,11.33,1,54,55
26,2026-01-25T14:32:00.091805,14.58,"{""Fast"": 0.4574799584076653, ""Standard"": 0.31185758044998724, ""Complex"": 0.17261723682595637, ""Ensemble"": 0.05804522431639106}",0.999,100,"{""1"": 26, ""3"": 10, ""0"": 57, ""2"": 7}",49051,5.92,146.49,24.74,1.4649,16.89,1,56,57
27,2026-01-25T14:32:12.100665,26.08,"{""Fast"": 0.43516017773169163, ""Standard"": 0.3410305751314606, ""Complex"": 0.16962753891099605, ""Ensemble"": 0.05418170822585159}",0.555,98,"{""0"": 43, ""1"": 37, ""2"": 10, ""3"": 8}",47231,5.92,141.8,23.95,1.4469,16.55,1,58,59
28,2026-01-25T14:32:24.107393,24.39,"{""Fast"": 0.5294082243484309, ""Standard"": 0.2823944520789264, ""Complex"": 0.13807490140695533, ""Ensemble"": 0.0501224221656873}",0.689,95,"{""1"": 28, ""0"": 56, ""2"": 10, ""3"": 1}",32100,5.92,140.44,23.74,1.4783,16.06,1,60,61
29,2026-01-25T14:32:36.120591,12.58,"{""Fast"": 0.4988943830345637, ""Standard"": 0.28479985475060277, ""Complex"": 0.1682652928556518, ""Ensemble"": 0.04804046935918186}",0.506,97,"{""0"": 45, ""1"": 31, ""2"": 19, ""3"": 2}",42753,5.92,139.79,23.61,1.4411,16.38,1,62,63
30,2026-01-25T14:32:48.085732,8.71,"{""Fast"": 0.5154358341326397, ""Standard"": 0.29737800941920883, ""Complex"": 0.14323408143925545, ""Ensemble"": 0.04395207500889587}",0.325,88,"{""0"": 46, ""1"": 23, ""2"": 12, ""3"": 7}",38000,5.91,144.56,24.48,1.6427,14.9,1,64,65
31,2026-01-25T14:33:00.130893,25.63,"{""Fast"": 0.5143634853186223, ""Standard"": 0.30682287124671875, ""Complex"": 0.13394475520692903, ""Ensemble"": 0.04486888822772987}",0.522,100,"{""0"": 45, ""1"": 31, ""3"": 10, ""2"": 14}",50077,5.93,152.76,25.78,1.5276,16.88,1,66,67
32,2026-01-25T14:33:12.306042,5.39,"{""Fast"": 0.5188564453442982, ""Standard"": 0.2676955252928081, ""Complex"": 0.15861281016672674, ""Ensemble"": 0.05483521919616699}",0.484,88,"{""2"": 16, ""0"": 47, ""1"": 19, ""3"": 6}",38552,6.21,150.72,24.28,1.7127,14.18,1,68,69
